feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position
293957,151,Brodie,Grundy,COL,RUC,NA,NA,0,186,TRUE,RUC
290528,469,Max,Gawn,MEL,RUC,NA,NA,0,33301,TRUE,RUC
295467,755,Jack,Macrae,WBD,MID,NA,NA,0,33301,TRUE,MID
293535,76,Lachie,Neale,BRL,MID,NA,NA,0,5524,TRUE,MID
291570,244,Nat,Fyfe,FRE,MID,NA,NA,0,9867,TRUE,MID
296347,397,Josh,Kelly,GWS,MID,NA,NA,0,186,TRUE,MID
990704,94,Patrick,Cripps,CAR,MID,NA,NA,0,9806,TRUE,MID
993834,738,Josh,Dunkley,WBD,MID,NA,NA,0,9806,TRUE,MID
291856,440,Tom,Mitchell,HAW,MID,NA,NA,0,33301,TRUE,MID
270917,335,Patrick,Dangerfield,GEE,MID,NA,NA,0,33301,TRUE,MID
297373,729,Marcus,Bontempelli,WBD,MID,NA,NA,0,189,FALSE,MID
291790,178,Adam,Treloar,COL,MID,NA,NA,0,9806,FALSE,MID
271129,519,Todd,Goldstein,NTH,RUC,NA,NA,0,9856,FALSE,RUC
294305,414,Lachie,Whitfield,GWS,FWD,MID,NA,0,182,TRUE,FWD
992468,668,Rowan,Marshall,STK,RUC,NA,NA,0,189,FALSE,RUC
996701,490,Clayton,Oliver,MEL,MID,NA,NA,0,189,TRUE,MID
295342,703,Jake,Lloyd,SYD,DEF,NA,NA,0,5524,TRUE,DEF
292128,816,Elliot,Yeo,WCE,MID,NA,NA,0,9867,FALSE,MID
290801,787,Andrew,Gaff,WCE,MID,NA,NA,0,182,TRUE,MID
250365,553,Travis,Boak,PTA,MID,NA,NA,0,5524,FALSE,MID
261224,90,Dayne,Zorko,BRL,MID,NA,NA,0,9856,TRUE,MID
260382,700,Josh P.,Kennedy,SYD,MID,NA,NA,0,182,TRUE,MID
992016,211,Zach,Merrett,ESS,MID,NA,NA,0,182,TRUE,MID
250312,616,Bachar,Houli,RIC,DEF,NA,NA,0,9806,TRUE,DEF
290778,714,Luke,Parker,SYD,MID,NA,NA,0,9867,TRUE,MID
260257,165,Scott,Pendlebury,COL,MID,NA,NA,0,186,TRUE,MID
297401,6,Matt,Crouch,ADE,MID,NA,NA,0,186,TRUE,MID
240283,789,Shannon,Hurn,WCE,DEF,NA,NA,0,9806,TRUE,DEF
295898,794,Tim,Kelly,WCE,MID,NA,NA,0,186,TRUE,MID
281065,337,Mitch,Duncan,GEE,MID,NA,NA,0,189,FALSE,MID
270963,36,Rory,Sloane,ADE,MID,NA,NA,0,5524,TRUE,MID
998172,411,Tim,Taranto,GWS,MID,NA,NA,0,5524,TRUE,MID
280921,513,Ben,Cunnington,NTH,MID,NA,NA,0,NA,NA,NA
294685,415,Zac,Williams,GWS,DEF,NA,NA,0,189,TRUE,DEF
290746,578,Scott,Lycett,PTA,RUC,NA,NA,0,9806,TRUE,RUC
290627,628,Dion,Prestia,RIC,MID,NA,NA,0,NA,NA,NA
291969,378,Stephen,Coniglio,GWS,MID,NA,NA,0,9867,TRUE,MID
280078,809,Luke,Shuey,WCE,MID,NA,NA,0,186,TRUE,MID
281007,270,Michael,Walters,FRE,FWD,MID,NA,0,9856,TRUE,FWD
