player.feed_id,player_id,round,picked,position,points,ppts,player.first_name,player.last_name,player.team.abbrev,user_team_id,userTeam.teamname,userTeam.user_id,userTeam.user.first_name
1006126,719,5,true,FWD,81,66,James,Rowbottom,SYD,189,The Full Bonty,10857,Anthony
295898,794,5,true,MID,77,90,Tim,Kelly,WCE,189,The Full Bonty,10857,Anthony
992049,633,5,true,DEF,75,88,Jayden,Short,RIC,189,The Full Bonty,10857,Anthony
1006094,133,5,true,MID,58,83,Sam,Walsh,CAR,189,The Full Bonty,10857,Anthony
991930,559,5,true,DEF,57,72,Darcy,Byrne-Jones,PTA,189,The Full Bonty,10857,Anthony
297373,729,5,true,MID,55,116,Marcus,Bontempelli,WBD,189,The Full Bonty,10857,Anthony
996464,304,5,true,FWD,50,80,Darcy,MacPherson,GCS,189,The Full Bonty,10857,Anthony
294685,415,5,false,DEF,0,0,Zac,Williams,GWS,189,The Full Bonty,10857,Anthony
280965,173,5,false,MID,0,0,Steele,Sidebottom,COL,189,The Full Bonty,10857,Anthony
998102,207,5,false,MID,0,0,Andrew,McGrath,ESS,189,The Full Bonty,10857,Anthony
270912,365,5,false,FWD,0,0,Jack,Steven,GEE,189,The Full Bonty,10857,Anthony
992010,159,5,true,DEF,116,104,Brayden,Maynard,COL,182,Coronaviney,300791,Paul
294101,747,5,true,DEF,108,85,Jason,Johannisen,WBD,182,Coronaviney,300791,Paul
294305,414,5,true,FWD,93,74,Lachie,Whitfield,GWS,182,Coronaviney,300791,Paul
298421,655,5,true,FWD,91,71,Jade,Gresham,STK,182,Coronaviney,300791,Paul
250312,616,5,true,DEF,88,111,Bachar,Houli,RIC,182,Coronaviney,300791,Paul
996059,47,5,true,DEF,83,81,Harris,Andrews,BRL,182,Coronaviney,300791,Paul
291975,323,5,true,RUC,83,97,Jarrod,Witts,GCS,182,Coronaviney,300791,Paul
290801,787,5,true,MID,83,108,Andrew,Gaff,WCE,182,Coronaviney,300791,Paul
298539,698,5,true,MID,79,101,Isaac,Heeney,SYD,182,Coronaviney,300791,Paul
270896,606,5,true,MID,74,87,Trent,Cotchin,RIC,182,Coronaviney,300791,Paul
294508,379,5,true,DEF,70,88,Aidan,Corr,GWS,182,Coronaviney,300791,Paul
294318,593,5,true,MID,67,76,Ollie,Wines,PTA,182,Coronaviney,300791,Paul
992242,690,5,true,FWD,61,71,Jordan,Dawson,SYD,182,Coronaviney,300791,Paul
291902,501,5,true,MID,60,96,Jack,Viney,MEL,182,Coronaviney,300791,Paul
291327,418,5,true,FWD,53,95,Jonathon,Ceglar,HAW,182,Coronaviney,300791,Paul
999824,353,5,true,MID,52,100,Quinton,Narkle,GEE,182,Coronaviney,300791,Paul
280921,513,5,true,MID,50,116,Ben,Cunnington,NTH,182,Coronaviney,300791,Paul
281124,92,5,true,FWD,39,88,Levi,Casboult,CAR,182,Coronaviney,300791,Paul
992016,211,5,false,MID,0,0,Zach,Merrett,ESS,182,Coronaviney,300791,Paul
280109,413,5,false,MID,0,0,Callan,Ward,GWS,182,Coronaviney,300791,Paul
993834,738,5,false,MID,0,0,Josh,Dunkley,WBD,182,Coronaviney,300791,Paul
296294,227,5,false,FWD,0,0,Blake,Acres,FRE,182,Coronaviney,300791,Paul
291783,219,5,true,MID,156,90,Dylan,Shiel,ESS,9867,Bad Boys For Fyfe,71052,James
281091,293,5,true,FWD,132,94,Hugh,Greenwood,GCS,9867,Bad Boys For Fyfe,71052,James
292128,816,5,true,MID,121,92,Elliot,Yeo,WCE,9867,Bad Boys For Fyfe,71052,James
1000978,72,5,true,MID,116,81,Hugh,McCluggage,BRL,9867,Bad Boys For Fyfe,71052,James
298111,384,5,true,FWD,111,60,Jeremy,Finlayson,GWS,9867,Bad Boys For Fyfe,71052,James
290778,714,5,true,MID,110,119,Luke,Parker,SYD,9867,Bad Boys For Fyfe,71052,James
295136,736,5,true,DEF,107,108,Caleb,Daniel,WBD,9867,Bad Boys For Fyfe,71052,James
291969,378,5,true,MID,103,86,Stephen,Coniglio,GWS,9867,Bad Boys For Fyfe,71052,James
1003130,752,5,true,FWD,94,94,Patrick,Lipinski,WBD,9867,Bad Boys For Fyfe,71052,James
298290,124,5,true,RUC,83,100,Marc,Pittonet,CAR,9867,Bad Boys For Fyfe,71052,James
294859,796,5,true,DEF,82,82,Jeremy,McGovern,WCE,9867,Bad Boys For Fyfe,71052,James
291861,506,5,true,MID,80,89,Jed,Anderson,NTH,9867,Bad Boys For Fyfe,71052,James
295461,218,5,true,DEF,80,91,Adam,Saad,ESS,9867,Bad Boys For Fyfe,71052,James
291771,220,5,true,FWD,70,78,Devon,Smith,ESS,9867,Bad Boys For Fyfe,71052,James
994539,121,5,true,DEF,51,82,Sam,Petrevski-Seton,CAR,9867,Bad Boys For Fyfe,71052,James
295256,545,5,true,DEF,43,71,Marley,Williams,NTH,9867,Bad Boys For Fyfe,71052,James
1004998,579,5,true,FWD,38,91,Todd,Marshall,PTA,9867,Bad Boys For Fyfe,71052,James
1009208,314,5,true,MID,6,127,Matthew,Rowell,GCS,9867,Bad Boys For Fyfe,71052,James
292511,370,5,false,DEF,0,0,Zach,Tuohy,GEE,9867,Bad Boys For Fyfe,71052,James
291570,244,5,false,MID,0,0,Nat,Fyfe,FRE,9867,Bad Boys For Fyfe,71052,James
280763,69,5,false,RUC,0,0,Stefan,Martin,BRL,9867,Bad Boys For Fyfe,71052,James
999827,101,5,false,FWD,0,0,Zac,Fisher,CAR,9867,Bad Boys For Fyfe,71052,James
295265,389,5,true,DEF,148,100,Nick,Haynes,GWS,9856,It's always Sonny,8258,Simon
998205,403,5,true,MID,136,117,Harry,Perryman,GWS,9856,It's always Sonny,8258,Simon
