"id","first_name","last_name","team.abbrev","positions.position","positions.position.1","player_stats.avg","median_score","user_team_id","round","pick","current_team_id","DEF","MID","RUC","FWD","score"
"392","Jacob","Hopper","GWS","MID","",86.125,89,"33301",7,55,"33301",,-1.34557231749603,,,-1.3456
"80","Daniel","Rich","BRL","DEF","",80.5,85,"186",7,56,"186",-0.621182171183426,,,,-0.6212
"617","Kane","Lambert","RIC","FWD","",89.125,89.5,"186",8,57,"186",,,,0.041068431260697,0.0411
"197","Dyson","Heppell","ESS","MID","",89,89,"33301",8,58,,,-1.34557231749603,,,-1.3456
"668","Rowan","Marshall","STK","RUC","",99.75,86.5,"9856",8,59,"189",,,-1.02311045778179,,-1.0231
"690","Jordan","Dawson","SYD","DEF","FWD",75.375,76.5,"182",8,60,"182",-1.37885728581074,,,-1.17925066905716,-1.1793
"337","Mitch","Duncan","GEE","MID","",107.857,120,"189",8,61,"189",,1.51728610385745,,,1.5173
"30","Reilly","O'Brien","ADE","RUC","",109.25,99,"5524",8,62,"5524",,,-0.420098400150086,,-0.4201
"578","Scott","Lycett","PTA","RUC","",101.5,102,"9806",8,63,"9806",,,-0.275375506318477,,-0.2754
"69","Stefan","Martin","BRL","RUC","",46.4,46,"9867",8,64,,,,-2.97686952450851,,-2.9769
"293","Hugh","Greenwood","GCS","FWD","MID",110.875,116,"9867",9,65,"9867",,1.1478850172312,,2.52864198190863,2.5286
"377","Jeremy","Cameron","GWS","FWD","",77.75,78,"9806",9,66,"189",,,,-1.03844461902048,-1.0384
"628","Dion","Prestia","RIC","MID","",92.4,89,"5524",9,67,"5524",,-1.34557231749603,,,-1.3456
"365","Jack","Steven","GEE","FWD","MID",54.5,51.5,"189",9,68,,,-4.80870750461718,,-3.52601816966842,-3.526
"513","Ben","Cunnington","NTH","MID","",102.333,72,"182",9,69,"182",,-2.91552693565762,,,-2.9155
"548","Jack","Ziebell","NTH","FWD","MID",45.4,20,"9856",9,70,,,-7.71774106179895,,-6.4829452204386,-6.4829
"389","Nick","Haynes","GWS","DEF","",110.875,111.5,"33301",9,71,"9856",1.74098142147821,,,,1.741
"809","Luke","Shuey","WCE","MID","",96.6667,109,"186",9,72,"186",,0.50143311563525,,,0.5014
"680","Jack","Steele","STK","MID","",118.875,121,"186",10,73,"186",,1.60963637551402,,,1.6096
"637","Nick","Vlastuin","RIC","DEF","",85.25,95,"33301",10,74,"9856",0.270200316613419,,,,0.2702
"325","Gary","Ablett","GEE","FWD","",82.1429,72,"9856",10,75,,,,,-1.60166881916718,-1.6017
"655","Jade","Gresham","STK","FWD","MID",82,91.5,"182",10,76,"182",,-1.11469663835462,,0.228809831309598,0.2288
"5","Brad","Crouch","ADE","MID","",82.125,91,"189",10,77,"189",,-1.1608717741829,,,-1.1609
