feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position,sc_team,sc_coach,round,year
290527,581,Trent,McKenzie,PTA,DEF,,70,,,,,,,8,2020
291848,693,Robbie,Fox,SYD,DEF,FWD,66,76,,,,,,8,2020
298409,259,Alex,Pearce,FRE,DEF,,41,,,,,,,8,2020
296291,349,Jake,Kolodjashnij,GEE,DEF,,57,43,,,,,,8,2020
294643,316,Alex,Sexton,GCS,FWD,,65,75,,,,,,8,2020
297406,188,Tom,Cutler,ESS,MID,,84,,,,,,,8,2020
1000998,29,Lachlan,Murphy,ADE,FWD,,47,87,,,,,,8,2020
1006028,686,Nick,Blakey,SYD,FWD,,54,74,,,,,,8,2020
1002256,100,Paddy,Dow,CAR,FWD,MID,34,,,,,,,8,2020
295203,600,Nathan,Broad,RIC,DEF,,73,53,,,,,,8,2020
993953,63,Eric,Hipwood,BRL,FWD,,88,67,,,,,,8,2020
998647,145,Mason,Cox,COL,FWD,,46,,,,,,,8,2020
294654,222,James,Stewart,ESS,FWD,,74,,,,,,,8,2020
240302,53,Grant,Birchall,BRL,DEF,,56,90,,,,,,8,2020
280988,236,Travis,Colyer,FRE,FWD,,52,,,,,,,8,2020
291964,298,Jack,Hombsch,GCS,DEF,,44,,,,,,,8,2020
1000267,672,Matthew,Parker,STK,FWD,,48,41,,,,,,8,2020
281139,771,Easton,Wood,WBD,DEF,,60,96,,,,,,8,2020
1005721,183,Josh,Begley,ESS,FWD,,65,,,,,,,8,2020
995192,254,Cam,McCarthy,FRE,FWD,,38,,,,,,,8,2020
1000937,345,Jack,Henry,GEE,DEF,,68,52,,,,,,8,2020
280959,811,Nathan,Vardy,WCE,RUC,,51,,,,,,,8,2020
1008893,492,Harrison,Petty,MEL,DEF,FWD,60,,,,,,,8,2020
291784,541,Dom,Tyson,NTH,MID,,79,,,,,,,8,2020
1000963,443,Harry,Morrison,HAW,FWD,MID,61,62,,,,,,8,2020
1004998,579,Todd,Marshall,PTA,FWD,,74,69,9867,true,FWD,Bad Boys For Fyfe,James,8,2020
297767,517,Sam,Durdin,NTH,DEF,,57,,,,,,,8,2020
291797,375,Matt,Buntine,GWS,DEF,FWD,41,,,,,,,8,2020
1001043,427,Oliver,Hanrahan,HAW,FWD,,47,,,,,,,8,2020
996743,708,Lewis,Melican,SYD,DEF,,55,,,,,,,8,2020
298390,483,Jay,Lockhart,MEL,FWD,,53,73,,,,,,8,2020
999331,9,Darcy,Fogarty,ADE,FWD,,61,,,,,,,8,2020
993917,665,Ben,Long,STK,FWD,,72,,,,,,,8,2020
993798,357,James,Parsons,GEE,MID,,69,,,,,,,8,2020
298265,670,Daniel,McKenzie,STK,DEF,,43,,,,,,,8,2020
991953,287,Corey,Ellis,GCS,DEF,,52,,,,,,,8,2020
1005793,780,Jarrod,Cameron,WCE,FWD,,46,33,,,,,,8,2020
1005199,16,Elliott,Himmelberg,ADE,FWD,,45,35,,,,,,8,2020
1006550,801,Jack,Petruccelle,WCE,FWD,,40,,,,,,,8,2020
1006148,390,Ian,Hill,GWS,FWD,,45,,,,,,,8,2020
991939,733,Zaine,Cordy,WBD,DEF,,57,78,,,,,,8,2020
295599,182,Patrick,Ambrose,ESS,DEF,,51,,,,,,,8,2020
1002213,674,Ed,Phillips,STK,MID,,58,,,,,,,8,2020
997823,804,Josh,Rotham,WCE,DEF,,52,69,,,,,,8,2020
1004095,303,Jack,Lukosius,GCS,DEF,FWD,77,65,9806,true,DEF,HoweIMetYourMother,Lester,8,2020
1006314,441,Dylan,Moore,HAW,FWD,,59,,,,,,,8,2020
281052,790,Mark,Hutchings,WCE,MID,,39,,,,,,,8,2020
1000932,8,Tom,Doedee,ADE,DEF,,102,31,9806,true,DEF,HoweIMetYourMother,Lester,8,2020
295012,172,Matthew,Scharenberg,COL,DEF,,55,77,,,,,,8,2020
1002353,239,Mitchell,Crowden,FRE,FWD,,51,,,,,,,8,2020
