feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,points,user_team_id,picked,position,round,year,teamname,coach
992049,633,Jayden,Short,RIC,DEF,,126,189,true,DEF,3,2020,The Full Bonty,Anthony
290802,524,Ben,Jacobs,NTH,MID,,,,,,3,2020,,
270811,395,Sam,Jacobs,GWS,RUC,,95,182,true,RUC,3,2020,Coronaviney,Paul
298302,111,Caleb,Marchbank,CAR,DEF,,,,,,3,2020,,
293738,422,Sam,Frost,HAW,DEF,,88,,,,3,2020,,
1002251,381,Brent,Daniels,GWS,FWD,,49,,,,3,2020,,
260710,449,Paul,Puopolo,HAW,FWD,,,,,,3,2020,,
1007102,354,Mark,O'Connor,GEE,DEF,,43,,,,3,2020,,
290757,681,Jimmy,Webster,STK,DEF,,,,,,3,2020,,
294570,662,Dean,Kent,STK,FWD,,,,,,3,2020,,
291550,543,Josh,Walker,NTH,DEF,,74,,,,3,2020,,
295103,20,Riley,Knight,ADE,FWD,,,,,,3,2020,,
294592,622,Kamdyn,McIntosh,RIC,MID,,,,,,3,2020,,
290817,253,Brandon,Matera,FRE,FWD,,61,,,,3,2020,,
295222,246,Joel,Hamling,FRE,DEF,,,,,,3,2020,,
1002267,514,Luke,Davies-Uniacke,NTH,FWD,MID,,,,,3,2020,,
997933,252,Griffin,Logue,FRE,DEF,,64,,,,3,2020,,
1005729,539,Tarryn,Thomas,NTH,FWD,,35,9856,false,FWD,3,2020,It's always Sonny,Simon
290199,515,Majak,Daw,NTH,DEF,,,,,,3,2020,,
1002239,235,Adam,Cerra,FRE,DEF,,89,,,,3,2020,,
290289,176,Josh,Thomas,COL,FWD,,,,,,3,2020,,
280990,583,Steven,Motlop,PTA,FWD,,33,9806,true,FWD,3,2020,HoweIMetYourMother,Lester
997842,712,Colin,O'Riordan,SYD,DEF,,33,,,,3,2020,,
1001448,180,Rupert,Wills,COL,MID,,78,,,,3,2020,,
298271,505,Paul,Ahern,NTH,DEF,MID,49,,,,3,2020,,
296078,518,Taylor,Garner,NTH,FWD,,,,,,3,2020,,
1006126,719,James,Rowbottom,SYD,FWD,MID,110,,,,3,2020,,
240060,91,Eddie,Betts,CAR,FWD,,113,,,,3,2020,,
291821,447,Jonathon,Patton,HAW,RUC,FWD,65,,,,3,2020,,
1005053,48,Noah,Answerth,BRL,DEF,,,,,,3,2020,,
